id Объекта;Объект;Адрес;id Ведомственной Организации;Ведомственная Организация;Доступность;Доступность;Широта (Latitude);Долгота (Longitude)
100000;Дворец культуры «Капотня»;2-й квартал Капотня, дом 20А;237332;Департамент культуры города Москвы;3;Районное;55.638114073790355;37.79917687563951
100002;Спортивный комплекс «Полярная звезда»;проезд Шокальского, дом 45, корпус 3;219165;Москомспорт.;3;Районное;55.88366894692852;37.65372982209014
100004;Парк, озелененная городская территория «Парк культуры и отдыха «Красная Пресня»»;Мантулинская улица, дом 5, строение 2;237332;Департамент культуры города Москвы;2;Окружное;55.75389495991736;37.55155865005101
100005;Досуговый центр «Старт-7»;улица Литвина-Седого, дом 2/13, корпус А, строение 3;237424;Управа Пресненского района города Москвы;3;Районное;55.76174068540823;37.544064015129635
100012;Дворовая территория;Волгоградский проспект, дом 1, строение 1;237339;Префектура Центрального административного округа города Москвы;4;Шаговая доступность;55.73335597769562;37.67128320560025
100013;Пункт выдачи спортивного инвентаря ГБУ «МосСпортОбъект», ул. Заречье, дом 7, строение 5;улица Заречье, дом 7, строение 5;219165;Москомспорт.;3;Районное;55.68911478245682;37.7732704056313
100014;Фитнес клуб «Максим»;Самаркандский бульвар, дом 8, корпус 2;NULL;NULL;3;Районное;55.70740896540305;37.8257311275581
100016;Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»;Самаркандский бульвар, дом 18/26;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.702822766704806;37.82170176513659
100017;Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»;улица Генерала Кузнецова, дом 20;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.686558497900734;37.85615510691472
100018;Досуговый центр «Юго-Восток»;улица Пруд-Ключики, дом 3;237343;Префектура Юго-Восточного административного округа города Москвы;3;Районное;55.74899909447517;37.720792678505276
100019;Досуговый центр «Лефортово»;Ухтомская улица, дом 6;237437;Управа района Лефортово города Москвы;3;Районное;55.77155706982898;37.71032380643045
100022;Дворовая территория;Зарайская улица, дом 51, корпус 2, строение 3;237343;Префектура Юго-Восточного административного округа города Москвы;4;Шаговая доступность;55.728307;37.777158
100024;Досуговый центр «Содействие в воспитании здоровой и спортивной нации»;Зарайская улица, дом 51, корпус 2;NULL;NULL;3;Районное;55.72796178090926;37.77718358301066
100025;Физкультурно-оздоровительный комплекс «Вороново»;"посёлок ЛМС, микрорайон ""Центральный"", дом 40, строение 1";NULL;NULL;3;Районное;55.312543;37.18171
100026;Стадион «Солнечный городок»;"посёлок ЛМС, микрорайон ""Солнечный городок"", дом 1";NULL;NULL;2;Окружное;55.30724775504169;37.19863994622651
100027;Досуговый центр «Дом культуры «Воскресенское»;посёлок Воскресенское, дом 21;NULL;NULL;3;Районное;55.526979;37.444108
100028;Объединенный санаторий и дом отдыха «Десна»;посёлок Воскресенское, дом 26;259812;Министерство внутренних дел Российской Федерации;3;Районное;55.52216235597864;37.4102316399525
100030;Городской стадион;город Троицк, Октябрьский проспект, дом 14;NULL;NULL;2;Окружное;55.475761;37.297233
100031;Дворец спорта «Квант»;город Троицк, Октябрьский проспект, дом 16Б;NULL;NULL;3;Районное;55.477189;37.299245
100032;Городской спортивно-оздоровительный центр «Гармония»;город Троицк, Сиреневый бульвар, дом 15;NULL;NULL;3;Районное;55.471536;37.295688
100033;Фитнес-клуб «Мисс фитнес»;Русаковская улица, дом 10, строение 1;NULL;NULL;3;Районное;55.78319573668128;37.6740155441694
